LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
