Dataset,#trainingRelease,%training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Balancing,FeatureSelection,Cost Sensitive,Sensitivity,TP,FP,TN,FN,Recall,Precision,AUC,Kappa
2,2,28,17,12,NaiveBayes,Smote,true,no Cost Sensitive,0,0.9893617021276596,0.3075734157650695,0.3075734157650695,0.010638297872340425,0.9893617021276596,0.3184931506849315,0.8668568515899898,0.35880240557262144
2,2,28,17,12,NaiveBayes,NoSampling,true,Sensitive Treshold,90,0.1276595744680851,0.02627511591962906,0.02627511591962906,0.8723404255319149,0.1276595744680851,0.41379310344827586,0.550692229274228,0.1439124295433588
2,2,28,17,12,NaiveBayes,NoSampling,true,Sensitive Treshold,83,0.1702127659574468,0.027820710973724884,0.027820710973724884,0.8297872340425532,0.1702127659574468,0.47058823529411764,0.5711960274918609,0.1958035633535319
2,2,28,17,12,NaiveBayes,NoSampling,true,Sensitive learning,90,0.20212765957446807,0.03400309119010819,0.03400309119010819,0.7978723404255319,0.20212765957446807,0.4634146341463415,0.8699644841987569,0.2214953372252968
2,2,28,17,12,NaiveBayes,NoSampling,false,no Cost Sensitive,0,0.9042553191489362,0.312210200927357,0.312210200927357,0.09574468085106383,0.9042553191489362,0.2961672473867596,0.8351721529810253,0.31534604689860524
2,2,28,17,12,RandomForest,NoSampling,true,no Cost Sensitive,0,0.8297872340425532,0.10664605873261206,0.10664605873261206,0.1702127659574468,0.8297872340425532,0.5306122448979592,0.9310565950869808,0.5827288085064096
2,2,28,17,12,RandomForest,OverSampling,true,no Cost Sensitive,0,0.8297872340425532,0.125193199381762,0.125193199381762,0.1702127659574468,0.8297872340425532,0.49056603773584906,0.9377980203229307,0.5438726750052353
2,2,28,17,12,RandomForest,UnderSampling,true,no Cost Sensitive,0,0.9893617021276596,0.19938176197836166,0.19938176197836166,0.010638297872340425,0.9893617021276596,0.4189189189189189,0.9069518892433162,0.49937636420330533
2,2,28,17,12,RandomForest,Smote,true,no Cost Sensitive,0,0.9468085106382979,0.15301391035548687,0.15301391035548687,0.05319148936170213,0.9468085106382979,0.4734042553191489,0.938973659114078,0.5561289728023593
2,2,28,17,12,RandomForest,NoSampling,true,Sensitive Treshold,90,0.0851063829787234,0.0,0.0,0.9148936170212766,0.0851063829787234,1.0,0.5425531914893617,0.13974459353654253
